nios2-terminal: connected to hardware target using JTAG UART on cable
nios2-terminal: "USB-Blaster [USB-0]", device 1, instance 0
nios2-terminal: (Use the IDE stop button or Ctrl-C to terminate)

Interrupt method selected. 
Period, Pulse_Width, BG_Tasks Run, Latency, Missed, Multiple 

Please, press PB0 to continue.
Interrupt method selected. 
Period, Pulse_Width, BG_Tasks Run, Latency, Missed, Multiple 

Please, press PB0 to continue.
Tight polling method selected. 
Period, Pulse_Width, BG_Tasks Run, Latency, Missed, Multiple 

Please, press PB0 to continue.
916, 458, 4359, 73, 0, 0
918, 459, 4349, 72, 0, 0
920, 460, 4341, 73, 0, 0
922, 461, 4331, 72, 0, 0
924, 462, 4321, 71, 0, 0
926, 463, 4313, 72, 0, 0
928, 464, 4303, 78, 0, 0
930, 465, 4293, 65, 0, 0
932, 466, 4285, 57, 0, 0
934, 467, 4275, 68, 0, 0
936, 468, 4267, 78, 0, 0
938, 469, 4257, 65, 0, 0
940, 470, 4249, 75, 0, 0
942, 471, 4239, 75, 0, 0
944, 472, 4231, 71, 0, 0
946, 473, 4221, 72, 0, 0
948, 474, 4213, 73, 0, 0
950, 475, 4203, 71, 0, 0
952, 476, 4195, 73, 0, 0
954, 477, 4187, 74, 0, 0
956, 478, 4177, 70, 0, 0
958, 479, 4169, 73, 0, 0
960, 480, 4161, 71, 0, 0
962, 481, 4151, 68, 0, 0
964, 482, 4143, 79, 0, 0
966, 483, 4135, 75, 0, 0
968, 484, 4125, 79, 0, 0
970, 485, 4117, 64, 0, 0
972, 486, 4109, 75, 0, 0
974, 487, 4101, 77, 0, 0
976, 488, 4091, 77, 0, 0
978, 489, 4083, 75, 0, 0
980, 490, 4075, 75, 0, 0
982, 491, 4067, 74, 0, 0
984, 492, 4059, 74, 0, 0
986, 493, 4051, 75, 0, 0
988, 494, 4043, 77, 0, 0
990, 495, 4035, 69, 0, 0
992, 496, 4027, 77, 0, 0
994, 497, 4019, 70, 0, 0
996, 498, 4011, 70, 0, 0
998, 499, 4003, 68, 0, 0
1000, 500, 3995, 70, 0, 0
1002, 501, 3987, 59, 0, 0
1004, 502, 3979, 77, 0, 0
1006, 503, 3971, 62, 0, 0
1008, 504, 3963, 58, 0, 0
1010, 505, 3955, 68, 0, 0
1012, 506, 3947, 78, 0, 0
1014, 507, 3939, 72, 0, 0
1016, 508, 3931, 79, 0, 0
1018, 509, 3923, 78, 0, 0
1020, 510, 3915, 79, 0, 0
1022, 511, 3909, 74, 0, 0
1024, 512, 3901, 79, 0, 0
1026, 513, 5839, 75, 0, 0
1028, 514, 5827, 68, 0, 0
1030, 515, 3877, 73, 0, 0
1032, 516, 5805, 75, 0, 0
1034, 517, 3863, 87, 0, 0
1036, 518, 5782, 75, 0, 0
1038, 519, 5773, 67, 0, 0
1040, 520, 5760, 72, 0, 0
1042, 521, 5749, 66, 0, 0
1044, 522, 5739, 75, 0, 0
1046, 523, 5728, 70, 0, 0
1048, 524, 5716, 68, 0, 0
1050, 525, 5707, 64, 0, 0
1052, 526, 5695, 64, 0, 0
1054, 527, 5683, 76, 0, 0
1056, 528, 5674, 62, 0, 0
1058, 529, 5662, 86, 0, 0
